GEO_ID,NAME,S2704_C03_001E,S2704_C03_006E,S2704_C03_002E,S2704_C03_010E,state,county
0500000US08039,"Elbert County, Colorado",27.5,10.0,18.3,2.0,08,039
0500000US08041,"El Paso County, Colorado",35.6,19.5,15.3,5.3,08,041
0500000US08043,"Fremont County, Colorado",50.8,27.2,28.0,4.8,08,043
0500000US08045,"Garfield County, Colorado",32.7,19.4,14.7,1.7,08,045
0500000US08047,"Gilpin County, Colorado",38.2,17.5,21.3,2.9,08,047
0500000US08049,"Grand County, Colorado",26.5,6.9,20.9,0.8,08,049
0500000US08051,"Gunnison County, Colorado",27.7,14.7,14.2,1.8,08,051
0500000US08053,"Hinsdale County, Colorado",51.4,16.6,35.4,2.3,08,053
0500000US08055,"Huerfano County, Colorado",64.9,35.0,36.6,5.9,08,055
0500000US08057,"Jackson County, Colorado",58.1,26.1,34.2,5.7,08,057
0500000US08059,"Jefferson County, Colorado",29.3,12.8,17.7,1.8,08,059
0500000US08061,"Kiowa County, Colorado",42.5,23.8,21.7,3.5,08,061
0500000US08063,"Kit Carson County, Colorado",42.4,25.2,21.3,2.0,08,063
0500000US08065,"Lake County, Colorado",24.2,12.4,12.7,0.6,08,065
0500000US08067,"La Plata County, Colorado",37.7,18.0,21.2,2.3,08,067
0500000US08069,"Larimer County, Colorado",31.0,14.9,17.3,1.9,08,069
0500000US08071,"Las Animas County, Colorado",54.8,31.4,27.7,3.6,08,071
0500000US08073,"Lincoln County, Colorado",43.0,23.5,24.2,2.0,08,073
0500000US08075,"Logan County, Colorado",49.1,30.6,21.2,3.7,08,075
0500000US08077,"Mesa County, Colorado",43.4,23.6,22.2,4.2,08,077
0500000US08079,"Mineral County, Colorado",43.3,17.2,28.5,2.6,08,079
0500000US08081,"Moffat County, Colorado",44.5,29.1,17.0,3.4,08,081
0500000US08083,"Montezuma County, Colorado",54.4,32.5,26.2,3.6,08,083
0500000US08085,"Montrose County, Colorado",52.6,28.8,27.4,3.5,08,085
0500000US08087,"Morgan County, Colorado",38.7,25.2,16.1,1.4,08,087
0500000US08089,"Otero County, Colorado",54.4,38.5,22.7,2.5,08,089
0500000US08091,"Ouray County, Colorado",43.8,9.4,35.9,3.4,08,091
0500000US08093,"Park County, Colorado",37.0,13.7,25.0,3.0,08,093
0500000US08095,"Phillips County, Colorado",39.1,26.1,17.5,2.3,08,095
0500000US08097,"Pitkin County, Colorado",30.8,10.8,20.4,1.3,08,097
0500000US08099,"Prowers County, Colorado",49.8,35.4,19.8,2.8,08,099
0500000US08101,"Pueblo County, Colorado",50.7,33.1,22.6,3.3,08,101
0500000US08103,"Rio Blanco County, Colorado",39.0,22.9,18.8,2.9,08,103
0500000US08105,"Rio Grande County, Colorado",48.4,29.9,22.1,2.1,08,105
0500000US08107,"Routt County, Colorado",30.0,12.8,17.9,1.9,08,107
0500000US08109,"Saguache County, Colorado",56.8,30.7,28.7,6.2,08,109
0500000US08111,"San Juan County, Colorado",30.6,10.4,20.1,1.4,08,111
0500000US08113,"San Miguel County, Colorado",25.1,9.1,16.4,1.5,08,113
0500000US08115,"Sedgwick County, Colorado",46.1,21.9,25.9,4.2,08,115
0500000US08117,"Summit County, Colorado",27.5,12.3,15.2,1.4,08,117
