GEO_ID,NAME,B01001_001E,B25003_001E,B01003_001E,C16001_001E,C16002_013E,C16002_014E,B28011_001E,B28011_008E,B25046_001E,B27010_001E,B27010_002E,B27010_017E,B27010_018E,B27010_033E,B27010_034E,B27010_050E,B27010_051E,B27010_066E,state,county,tract,block group
1500000US150070407024,Block Group 4; Census Tract 407.02; Kauai County; Hawaii,561,211,561,,0,0,211,0,,561,186,0,59,0,175,0,141,0,15,007,040702,4
1500000US150070408001,Block Group 1; Census Tract 408; Kauai County; Hawaii,1878,453,1878,,0,3,453,46,961,1878,514,0,268,13,693,63,403,0,15,007,040800,1
1500000US150070408002,Block Group 2; Census Tract 408; Kauai County; Hawaii,1667,497,1667,,0,0,497,30,1529,1652,258,0,432,0,716,19,246,0,15,007,040800,2
1500000US150070408003,Block Group 3; Census Tract 408; Kauai County; Hawaii,440,166,440,,0,0,166,23,336,440,49,0,212,14,100,0,79,0,15,007,040800,3
1500000US150070409001,Block Group 1; Census Tract 409; Kauai County; Hawaii,476,137,476,,0,14,137,0,322,476,43,0,90,0,223,0,120,0,15,007,040900,1
1500000US150070409002,Block Group 2; Census Tract 409; Kauai County; Hawaii,1050,400,1050,,0,0,400,42,807,1010,244,0,226,0,296,35,244,0,15,007,040900,2
1500000US150070409003,Block Group 3; Census Tract 409; Kauai County; Hawaii,682,282,682,,0,9,282,22,500,647,146,0,93,4,270,4,138,0,15,007,040900,3
1500000US150070409004,Block Group 4; Census Tract 409; Kauai County; Hawaii,845,331,845,,0,0,331,32,935,845,186,0,104,0,386,22,169,0,15,007,040900,4
1500000US150070409005,Block Group 5; Census Tract 409; Kauai County; Hawaii,795,166,795,,0,0,166,0,288,795,327,0,187,0,175,54,106,0,15,007,040900,5
1500000US150070409006,Block Group 6; Census Tract 409; Kauai County; Hawaii,1774,465,1774,,0,0,465,18,1372,1744,474,0,185,31,753,12,332,0,15,007,040900,6
1500000US150070412001,Block Group 1; Census Tract 412; Kauai County; Hawaii,0,0,0,,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,15,007,041200,1
1500000US150070412002,Block Group 2; Census Tract 412; Kauai County; Hawaii,0,0,0,,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,15,007,041200,2
1500000US150079400001,Block Group 1; Census Tract 9400; Kauai County; Hawaii,2328,781,2328,,0,24,781,81,1856,2328,574,13,236,37,996,83,522,0,15,007,940000,1
1500000US150079400002,Block Group 2; Census Tract 9400; Kauai County; Hawaii,2505,610,2505,,0,20,610,39,1607,2505,652,10,449,31,904,32,500,0,15,007,940000,2
1500000US150079901000,Block Group 0; Census Tract 9901; Kauai County; Hawaii,0,0,0,,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,15,007,990100,0
1500000US150079902000,Block Group 0; Census Tract 9902; Kauai County; Hawaii,0,0,0,,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,15,007,990200,0
1500000US150079903000,Block Group 0; Census Tract 9903; Kauai County; Hawaii,0,0,0,,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,15,007,990300,0
1500000US150090301001,Block Group 1; Census Tract 301; Maui County; Hawaii,860,413,860,,0,0,413,44,833,860,118,0,174,0,301,11,267,8,15,009,030100,1
1500000US150090301002,Block Group 2; Census Tract 301; Maui County; Hawaii,447,170,447,,0,0,170,44,285,447,40,0,114,12,214,0,79,0,15,009,030100,2
1500000US150090302011,Block Group 1; Census Tract 302.01; Maui County; Hawaii,1837,558,1837,,0,0,558,48,1382,1771,276,15,260,22,723,44,512,0,15,009,030201,1
1500000US150090302012,Block Group 2; Census Tract 302.01; Maui County; Hawaii,1154,540,1154,,0,0,540,64,1067,1154,158,0,254,66,495,0,247,0,15,009,030201,2
1500000US150090302031,Block Group 1; Census Tract 302.03; Maui County; Hawaii,2676,793,2676,,0,15,793,12,2028,2676,605,105,726,60,868,19,477,12,15,009,030203,1
1500000US150090302032,Block Group 2; Census Tract 302.03; Maui County; Hawaii,1906,745,1906,,0,0,745,20,1654,1906,410,0,302,13,844,45,350,0,15,009,030203,2
1500000US150090302041,Block Group 1; Census Tract 302.04; Maui County; Hawaii,936,331,936,,0,0,331,0,928,936,259,0,166,0,366,0,145,0,15,009,030204,1
1500000US150090302042,Block Group 2; Census Tract 302.04; Maui County; Hawaii,1736,619,1736,,0,0,619,0,1171,1736,470,0,294,57,814,18,158,0,15,009,030204,2
1500000US150090302043,Block Group 3; Census Tract 302.04; Maui County; Hawaii,1018,382,1018,,0,10,382,0,,1018,275,0,173,0,543,16,27,0,15,009,030204,3
1500000US150090303041,Block Group 1; Census Tract 303.04; Maui County; Hawaii,1375,536,1375,,0,0,536,0,1227,1375,110,0,201,16,724,126,340,0,15,009,030304,1
1500000US150090303042,Block Group 2; Census Tract 303.04; Maui County; Hawaii,2236,468,2236,,3,2,468,15,1346,2229,700,39,410,40,857,43,262,0,15,009,030304,2
1500000US150090303051,Block Group 1; Census Tract 303.05; Maui County; Hawaii,990,353,990,,0,0,353,63,733,990,312,147,87,0,332,49,259,0,15,009,030305,1
1500000US150090303052,Block Group 2; Census Tract 303.05; Maui County; Hawaii,1058,410,1058,,0,0,410,35,976,1058,99,0,144,52,467,132,348,0,15,009,030305,2
1500000US150090303053,Block Group 3; Census Tract 303.05; Maui County; Hawaii,1881,667,1881,,0,0,667,9,1457,1839,511,16,188,0,727,153,413,0,15,009,030305,3
1500000US150090303054,Block Group 4; Census Tract 303.05; Maui County; Hawaii,1920,718,1920,,0,0,718,41,1421,1920,457,0,118,0,863,61,482,0,15,009,030305,4
1500000US150090303061,Block Group 1; Census Tract 303.06; Maui County; Hawaii,2105,971,2105,,0,0,971,0,1929,2088,225,10,481,44,706,82,676,0,15,009,030306,1
1500000US150090303071,Block Group 1; Census Tract 303.07; Maui County; Hawaii,924,367,924,,0,0,367,3,515,924,174,0,13,0,313,0,424,0,15,009,030307,1
1500000US150090303072,Block Group 2; Census Tract 303.07; Maui County; Hawaii,1057,525,1057,,0,0,525,22,,1057,120,0,29,18,373,0,535,0,15,009,030307,2
1500000US150090304031,Block Group 1; Census Tract 304.03; Maui County; Hawaii,1013,439,1013,,0,0,439,39,961,1013,92,5,26,5,611,27,284,0,15,009,030403,1
1500000US150090304032,Block Group 2; Census Tract 304.03; Maui County; Hawaii,2141,809,2141,,0,0,809,51,1514,2141,567,0,260,0,777,24,537,0,15,009,030403,2
1500000US150090304041,Block Group 1; Census Tract 304.04; Maui County; Hawaii,1494,411,1494,,0,9,411,23,968,1486,385,31,316,43,510,88,275,0,15,009,030404,1
1500000US150090304042,Block Group 2; Census Tract 304.04; Maui County; Hawaii,2204,725,2204,,0,0,725,29,1451,2204,514,18,368,44,1006,23,316,0,15,009,030404,2
1500000US150090304043,Block Group 3; Census Tract 304.04; Maui County; Hawaii,2336,841,2336,,0,0,841,71,1744,2336,661,37,222,0,955,79,498,0,15,009,030404,3
1500000US150090304051,Block Group 1; Census Tract 304.05; Maui County; Hawaii,2279,730,2279,,0,0,730,0,2235,2213,314,0,667,2,747,29,485,31,15,009,030405,1
1500000US150090304061,Block Group 1; Census Tract 304.06; Maui County; Hawaii,2025,654,2025,,0,0,654,99,1774,2025,309,8,393,0,843,115,480,0,15,009,030406,1
1500000US150090304062,Block Group 2; Census Tract 304.06; Maui County; Hawaii,1436,451,1436,,0,0,451,0,1079,1436,202,0,271,24,797,15,166,0,15,009,030406,2
1500000US150090304063,Block Group 3; Census Tract 304.06; Maui County; Hawaii,3779,1465,3779,,0,82,1465,40,3262,3779,920,0,682,0,1274,0,903,0,15,009,030406,3
1500000US150090305011,Block Group 1; Census Tract 305.01; Maui County; Hawaii,1831,568,1831,,0,0,568,15,1249,1824,389,0,341,40,839,173,255,6,15,009,030501,1
1500000US150090305012,Block Group 2; Census Tract 305.01; Maui County; Hawaii,811,278,811,,0,0,278,0,504,811,178,0,329,11,203,25,101,0,15,009,030501,2
1500000US150090307051,Block Group 1; Census Tract 307.05; Maui County; Hawaii,2697,864,2697,,0,80,864,0,1782,2679,874,70,609,26,982,71,214,0,15,009,030705,1
