AIANNHH,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B28002_013E,B09019_005E,B09019_008E,B19101_001E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E
1270,"Fort Sill Apache Indian Reservation, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,"Fort Yuma Indian Reservation, CA--AZ",1536,190,161,20,28,0,7,61,55,39,296,443,47,29,109,32,18,13,41,41,37,17,188,5,1081,6,0,48,208
1310,"Gila River Indian Reservation, AZ",12179,669,338,217,28,0,49,1155,470,527,2234,4709,397,333,488,462,3,134,359,321,84,57,713,27,10363,94,63,403,516
1340,"Goshute Reservation, NV--UT",149,14,15,4,3,3,4,10,8,0,41,48,4,2,13,0,3,2,4,3,0,4,12,0,136,0,1,0,0
1355,"Grand Portage Reservation and Off-Reservation Trust Land, MN",616,56,74,8,4,9,14,45,60,49,174,273,7,12,12,22,9,12,22,29,14,17,188,0,337,16,4,0,71
1365,"Grand Ronde Community and Off-Reservation Trust Land, OR",679,83,80,4,0,0,0,31,26,49,186,165,34,28,30,11,8,9,8,14,3,8,118,4,405,11,2,16,123
1370,"Grand Traverse Reservation and Off-Reservation Trust Land, MI",607,62,15,6,8,5,7,43,23,18,128,154,21,21,37,16,15,2,2,12,2,2,79,11,413,5,0,11,88
1380,"Greenville Rancheria, CA",7,0,3,0,1,0,0,2,1,3,1,2,0,0,0,0,0,0,2,0,0,0,5,0,2,0,0,0,0
1395,"Grindstone Indian Rancheria, CA",98,14,0,0,2,0,0,12,5,7,19,36,12,1,4,1,0,2,5,1,0,0,10,0,71,0,0,14,3
1400,"Guidiville Rancheria and Off-Reservation Trust Land, CA",55,0,0,1,1,0,0,1,0,0,12,11,6,0,7,3,0,1,1,0,0,0,14,3,34,0,0,0,4
1410,"Hannahville Indian Community and Off-Reservation Trust Land, MI",549,12,11,16,14,1,4,18,19,17,96,179,31,26,29,8,10,5,13,13,4,11,54,9,399,33,0,0,54
1440,"Havasupai Reservation, AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,"Ho-Chunk Nation Reservation and Off-Reservation Trust Land, WI--MN",1343,26,48,20,15,8,25,51,45,53,262,423,42,68,87,66,10,10,53,12,32,15,93,10,1082,14,10,8,126
1460,"Hoh Indian Reservation and Off-Reservation Trust Land, WA",56,9,2,1,1,0,2,3,2,0,10,24,2,1,0,3,1,0,1,0,0,1,8,0,39,2,0,0,7
1475,"Hollywood Reservation, FL",948,45,101,82,44,0,3,29,31,42,217,294,70,62,36,13,5,6,25,21,7,3,159,15,550,23,4,35,162
1490,"Hoopa Valley Reservation, CA",2503,126,165,140,128,0,15,178,64,55,570,813,70,99,92,56,8,108,38,56,16,32,176,1,1833,150,0,9,334
1505,"Hopi Reservation and Off-Reservation Trust Land, AZ",7895,595,643,183,122,102,399,1114,232,273,1629,2954,358,178,314,247,149,49,233,181,92,140,120,24,7701,0,0,13,37
1515,"Hopland Rancheria, CA",219,25,9,5,3,0,3,22,11,4,58,111,0,2,8,0,4,0,12,9,12,0,69,0,131,0,0,4,15
1530,"Houlton Maliseet Reservation and Off-Reservation Trust Land, ME",272,22,3,0,0,1,1,1,3,26,66,81,15,18,15,18,2,2,4,0,0,2,60,0,177,0,0,2,33
1545,"Hualapai Indian Reservation and Off-Reservation Trust Land, AZ",1738,102,116,52,41,0,4,47,11,26,360,469,76,160,101,91,0,21,33,16,5,2,57,0,1563,0,0,106,12
1550,"Huron Potawatomi Reservation and Off-Reservation Trust Land, MI",78,0,0,0,2,0,0,3,2,1,16,14,4,2,0,0,0,0,1,1,0,0,12,34,10,0,0,0,22
1555,"Immokalee Reservation, FL",132,12,2,0,0,0,0,3,5,2,33,50,17,0,0,0,0,0,3,6,8,3,16,0,98,0,0,0,18
1560,"Inaja and Cosmit Reservation, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,"Indian Township Reservation, ME",657,48,86,19,8,9,14,64,43,29,148,236,18,28,27,24,16,14,19,15,6,7,107,0,485,3,0,0,62
1590,"Iowa (KS-NE) Reservation and Off-Reservation Trust Land, KS--NE",230,29,17,1,0,8,4,9,7,5,68,94,24,11,0,5,0,0,8,5,5,5,67,0,133,2,0,0,28
1610,"Isabella Reservation and Off-Reservation Trust Land, MI",25328,1345,1992,1109,1076,473,1641,889,1274,1593,6352,10414,548,617,872,449,211,363,749,950,307,469,21168,445,1709,258,28,393,1327
1625,"Isleta Pueblo, NM",4466,353,414,94,61,26,108,459,171,248,964,1687,96,154,268,43,28,72,11,56,53,124,146,24,3938,0,0,118,240
1640,"Jackson Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",10,0,2,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,5,0,5,0,0,0,0
1670,"Jamul Indian Village, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,"Jemez Pueblo, NM",2132,117,201,31,15,64,24,233,20,16,442,601,86,63,125,0,18,44,20,51,10,88,10,0,2116,0,0,0,6
1690,"Jena Band of Choctaw Reservation, LA",15,0,0,0,0,0,0,0,0,0,7,2,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,13
1700,"Jicarilla Apache Nation Reservation and Off-Reservation Trust Land, NM",2599,204,240,86,0,6,0,260,195,126,470,943,176,77,87,38,64,14,62,116,56,18,46,5,2188,25,0,200,135
1720,"Kaibab Indian Reservation, AZ",249,38,33,0,8,0,0,10,1,24,61,77,21,7,4,6,0,7,0,4,0,0,15,12,191,5,0,0,26
1735,"Kalispel Reservation and Off-Reservation Trust Land, WA",957,17,11,9,2,0,0,13,39,73,249,280,91,78,24,17,2,1,12,25,2,3,362,25,222,16,260,8,64
1750,"Karuk Reservation and Off-Reservation Trust Land, CA",498,24,16,2,2,0,2,32,19,30,124,130,15,26,40,8,8,7,18,11,2,5,50,3,307,2,0,5,131
1770,"Kickapoo (KS) Reservation, KS",4286,124,280,146,153,76,818,268,250,239,1058,1672,137,181,122,144,54,58,163,147,62,100,3279,38,566,5,0,18,380
1775,"Kickapoo (TX) Reservation and Off-Reservation Trust Land, TX",1005,0,9,0,0,0,0,104,4,67,201,275,34,62,47,86,0,0,23,0,0,28,17,0,885,0,0,43,60
1785,"Klamath Reservation, OR",41,9,0,0,2,0,4,14,9,18,3,14,0,0,2,2,3,0,2,0,0,2,9,0,28,0,0,0,4
1800,"Kootenai Reservation and Off-Reservation Trust Land, ID",182,5,9,3,1,0,0,0,4,2,22,50,28,1,21,11,2,0,0,4,0,13,15,0,166,0,0,1,0
1815,"Lac Courte Oreilles Reservation and Off-Reservation Trust Land, WI",2868,404,387,211,171,97,178,276,232,194,760,1062,93,101,117,81,40,51,85,118,83,87,738,7,1856,38,6,59,164
1825,"Lac du Flambeau Reservation, WI",3656,764,602,307,315,129,162,152,257,264,966,1568,109,86,144,86,104,147,121,175,33,72,1634,10,1892,36,0,15,69
1830,"Lac Vieux Desert Reservation, MI",180,15,35,0,6,0,3,10,9,13,28,53,3,11,14,14,0,0,1,6,3,5,4,29,144,3,0,0,0
1840,"Laguna Pueblo and Off-Reservation Trust Land, NM",4460,124,361,151,40,78,163,472,62,138,748,1566,164,204,207,82,56,37,91,138,0,52,150,2,4162,1,0,0,145
1850,"La Jolla Reservation, CA",275,23,7,11,2,0,0,21,13,15,83,105,11,14,2,10,0,8,12,4,2,3,60,4,186,10,0,4,11
1860,"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND",11391,697,950,382,412,301,1182,675,572,508,2724,4238,583,452,427,230,198,210,313,267,145,262,5936,48,4713,13,0,189,492
1880,"L'Anse Reservation and Off-Reservation Trust Land, MI",3544,292,314,202,197,82,313,245,213,329,935,1371,66,171,101,102,53,68,144,137,52,70,2170,49,884,35,11,17,378
1895,"La Posta Indian Reservation, CA",66,0,0,0,1,0,0,0,1,0,15,16,0,0,13,0,0,1,2,0,0,0,7,0,39,0,0,12,8
1915,"Las Vegas Indian Colony, NV",209,11,26,0,1,3,3,4,2,4,38,78,5,0,45,0,5,0,25,4,0,10,47,0,83,0,0,1,78
1925,"Laytonville Rancheria, CA",156,17,2,8,1,0,1,8,2,2,41,72,8,0,7,0,0,1,3,12,0,0,22,0,86,0,7,0,41
1940,"Leech Lake Reservation and Off-Reservation Trust Land, MN",11189,936,1209,615,529,226,491,588,681,400,2684,4347,457,479,485,240,159,236,291,287,176,278,5995,62,3725,77,2,141,1187
1955,"Likely Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,"Little River Reservation and Off-Reservation Trust Land, MI",95,2,0,0,1,0,9,7,4,13,12,36,0,1,4,1,2,2,3,17,0,1,22,0,52,0,2,0,19
1963,"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI",80,1,0,2,1,1,1,3,3,6,11,37,2,1,5,0,0,0,25,0,0,0,20,0,19,0,0,0,41
1970,"Lone Pine Reservation, CA",206,8,50,14,6,5,1,26,7,19,51,68,17,1,7,0,0,5,8,4,5,5,48,0,125,7,0,0,26
1980,"Lookout Rancheria, CA",8,0,2,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
1995,"Los Coyotes Reservation, CA",75,2,6,1,0,0,0,2,3,1,22,42,1,0,0,2,3,1,8,1,1,0,11,0,61,0,0,0,3
2015,"Lovelock Indian Colony, NV",151,9,12,1,0,1,8,8,4,6,21,59,17,9,0,2,0,1,0,2,1,2,9,0,135,0,0,3,4
2030,"Lower Brule Reservation and Off-Reservation Trust Land, SD",1760,98,146,75,11,4,6,109,37,46,282,579,119,107,97,50,0,24,22,23,50,11,147,0,1579,7,0,11,16
2040,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",671,49,23,0,0,1,1,23,22,20,141,244,34,37,27,14,7,12,19,16,7,12,89,12,451,12,0,0,107
2055,"Lower Sioux Indian Community and Off-Reservation Trust Land, MN",576,24,14,12,1,8,18,33,24,44,121,153,24,37,43,12,8,6,6,7,8,7,45,0,458,0,0,25,48
2070,"Lummi Reservation, WA",5211,312,335,182,60,30,89,176,223,181,1383,2032,149,126,138,74,70,53,147,175,103,105,2295,37,2309,162,8,54,346
2075,"Lytton Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,"Makah Indian Reservation, WA",1524,146,122,34,14,6,29,94,54,75,325,556,62,55,50,23,14,11,55,49,23,54,194,0,1076,0,0,30,224
2100,"Manchester-Point Arena Rancheria, CA",345,38,14,3,2,0,5,25,2,14,81,122,8,4,16,27,11,9,2,10,0,3,26,0,174,0,1,22,122
2115,"Manzanita Reservation and Off-Reservation Trust Land, CA",70,0,2,0,0,0,0,0,0,2,16,19,5,3,10,0,0,0,0,0,0,0,13,0,38,0,0,0,19
2130,"Maricopa (Ak Chin) Indian Reservation and Off-Reservation Trust Land, AZ",1450,41,51,24,2,5,3,78,24,30,312,491,56,75,69,40,13,4,22,43,0,12,58,6,1285,0,0,23,78
2145,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT",104,15,5,1,0,2,1,0,0,2,25,36,18,2,2,0,0,2,3,0,4,3,20,4,46,0,0,0,34
2147,"Mashpee Wampanoag Trust Land, MA",11,0,0,0,0,0,4,0,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3
2150,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation and Off-Reservation Trust Land, MI",12,0,0,0,0,0,0,2,2,0,3,5,1,0,0,0,0,2,0,0,0,0,4,0,4,0,0,0,4
2175,"Menominee Reservation and Off-Reservation Trust Land, WI",3537,379,146,35,19,12,104,162,68,73,809,1124,197,219,183,109,12,68,97,127,37,36,111,9,3213,8,0,4,192
2190,"Mesa Grande Reservation, CA",69,0,0,0,1,0,0,0,0,0,30,41,4,0,3,2,0,3,0,3,0,0,7,0,62,0,0,0,0
2205,"Mescalero Reservation, NM",3969,263,263,55,29,42,76,214,143,260,540,1470,145,132,129,122,19,52,97,89,24,70,308,4,3548,0,0,52,57
2240,"Miccosukee Reservation and Off-Reservation Trust Land, FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,"Middletown Rancheria, CA",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2270,"Mille Lacs Reservation and Off-Reservation Trust Land, MN",4630,445,443,232,172,190,337,287,383,349,1007,1826,128,151,143,145,104,101,131,164,63,106,2868,37,1266,17,3,59,380
2285,"Minnesota Chippewa Trust Land, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,"Mississippi Choctaw Reservation and Off-Reservation Trust Land, MS--TN",7384,380,224,83,55,148,15,539,217,143,1547,2604,310,226,435,397,70,16,140,150,109,44,321,106,6302,79,17,384,175
2315,"Moapa River Indian Reservation, NV",245,9,59,15,2,0,0,14,5,20,65,79,4,13,17,3,0,2,12,6,3,7,19,12,158,0,30,7,19
2320,"Mohegan Reservation, CT",181,16,26,18,9,4,7,9,28,16,38,76,12,4,5,4,5,4,8,1,2,6,63,0,84,0,0,4,30
